P0 id;Nivel_PowerBI;Nivel_Qlik;Nivel_Tableau;Nivel_Metabase;Nivel_Looker;Nivel_Looker_Studio;Nivel_Amazon_Quicksight;Nivel_Alteryx;Nivel_Grafana;Nivel_Pentaho;Nivel_Excel;Domina_PowerBI;Domina_Qlik;Domina_Tableau;Domina_Metabase;Domina_Looker;Domina_Looker_Studio;Domina_Amazon_Quicksight;Domina_Alteryx;Domina_Grafana;Domina_Pentaho;Domina_Excel;UF;Idade
0baz3khrxi0sei0bazgztvrrugudi1wd;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;1;0;0;0;0;0;0;0;0;SP;50-54
0bb3tmiavc8odqz33eojlr0bb3to0mtu;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;MG;22-24
0beob0vw5kuacjool0w0beobkbzsh06f;0,5;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;SP;22-24
0bj58kvonhsptf90bj5ldaxfkdm013kt;0,0;0,0;0,5;0,0;1,0;0,5;0,0;0,0;0,0;0,0;0,0;0;0;0;0;1;0;0;0;0;0;0;GO;35-39
0bulrqnzwpth2g6rcf0bulrqr6hfwmhx;0,0;0,0;1,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0;0;1;0;0;0;0;0;0;0;0;PE;30-34
0bzkjj29s204r00bzkuifih8t0n4shmd;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;;22-24
0c61ipysz17kckyll0c61ivgliw391vr;0,0;0,0;0,5;1,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0;0;0;1;0;0;0;0;0;0;0;DF;25-29
0czmmsqic3e0czzgfpcxcmlvopm6lzgf;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;25-29
0ddxnylpynv0fgc72nuiy0ddx2np8hvc;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;PR;25-29
0dkjjbum7c9eeyyr0dkjusywtxxirtxf;0,0;0,0;0,5;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;1;0;0;0;0;0;0;0;PE;25-29
0dmgnvaor1n4kwg0dofeq0cvtz9wszxp;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;25-29
0dqlwrfgpu6hl40dq03c11aoxyrkddtt;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;22-24
0dverwvn6qvm84sj0dverwv1jhbj8uhf;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;MG;22-24
0e5jp063qgcme6ly0e5j1oqs6sdw53oi;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;ES;25-29
